dataset,best_params,RMSE_test,NMSE_test,MAE_test,Time,Expression,Fold,Rep
airfoil,"{'expolim': 2, 'max_terms': 10}",2.8875391285859884,2.0271792180957986,0.0005312593575091079,772.9850585460663,-213.10653*sqrt.abs(x0^-2 * x1 * x2^-1) + 4.511844*log(x0^-2 * x2^-1 * x3 * x4^-1) + 1.681316*exp(x2^-1 * x3^-1) + -0.095669*sqrt.abs(x0^-1 * x1 * x2^-1 * x3 * x4^-1) + -25.886242*tanh(x0^-2 * x4^-2) + 2125239316.158293*cos(x1 * x2 * x3^-2 * x4) + -2125239171.3955219,0,0
airfoil,"{'expolim': 1, 'max_terms': 10}",2.8396916060109962,1.9683633485339957,0.0005135231989077517,967.6617813110353,4.959899*log(x0^-1 * x2) + -39.958852*sqrt.abs(x0^-1 * x4^-1) + 14.408224*tanh(x3 * x4) + -914.809001*sqrt.abs(x2 * x3^-1 * x4) + -57.473417*tanh(x0^-1 * x3) + -104.270124*sqrt.abs(x0^-1 * x1 * x2 * x3 * x4) + -18.310079*sqrt.abs(x0^-1 * x1 * x2^-1) + 55.957309*tanh(x0^-1 * x1 * x2 * x3) + 9.591692*log(x0^-1 * x2^-1 * x4^-1) + 194.2804271335997,0,1
airfoil,"{'expolim': 3, 'max_terms': 10}",2.961419311532042,2.122205464018864,0.0005582770329848177,1010.010124206543,-0.20898*sqrt.abs(x0^2 * x2 * x3^-1 * x4) + 13.071761*tanh(x0^-1 * x2^-1 * x4^-1) + -49.38573*sin(x0^-1 * x2 * x4^-1) + -0.039871*sqrt.abs(x0) + -752788.853174*sqrt.abs(x0^-1 * x1 * x2^3 * x3^-1 * x4^3) + -0.264163*id(x0^-1 * x1^2 * x4^-1) + 12.312406*sqrt.abs(x0^-1 * x1^3 * x2^3 * x3) + 122.50827022642233,0,2
airfoil,"{'expolim': 3, 'max_terms': 8}",2.7434541394414493,1.8453833123638697,0.00047945218701116887,1765.6828010082245,-3.470929*log(x0^2 * x2 * x3^-1 * x4^2) + 10.252266*id(x0^-2 * x1^2 * x2 * x3 * x4^-1) + -21.556261*tanh(x0^-2 * x1 * x2 * x4^-2) + -1e-06*id(x0^2 * x3^-1) + -26.635462*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + -9.373818*sin(x0^-1 * x1^2 * x2^-1 * x4) + 3.460386*tanh(x0^-2 * x1^2 * x2^-1 * x3^2) + -4.278262*tanh(x1^-1 * x3^-1 * x4^-1) + 124.56248474352454,0,3
airfoil,"{'expolim': 3, 'max_terms': 6}",2.700015464902364,1.9637633227416404,0.00046481254511802336,3710.559283494949,11.25776*tanh(x0^-1 * x2^-1 * x4^-1) + 13.279777*tanh(x0^2 * x2^-1 * x3^-1 * x4^2) + 7.418254*log(x0^-1 * x3) + 1426645.789555*cos(x4^2) + -0.149746*sqrt.abs(x0 * x1 * x3^-1) + 4.091246*log(x2^-1) + -123.617164*sqrt.abs(x0^-1 * x2^-1) + 237.920308*id(x2^-1 * x3^-2) + -1426510.8720914442,0,4
airfoil,"{'expolim': 1, 'max_terms': 6}",2.5145606545265355,1.7654316387701607,0.00040265412646314303,3724.900936603546,5.050702*log(x0^-1 * x2^-1 * x3 * x4^-1) + -211894.11729*sqrt.abs(x0^-1 * x2 * x3^-1 * x4^2) + -0.000648*id(x0) + -6.7e-05*id(x0^-1 * x1^2 * x2^-1 * x3 * x4^-1) + -50.315164*tanh(x0^-1 * x2 * x4^-1) + -20.352045*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + 7925.606242*sqrt.abs(x0^-1 * x2 * x4) + -1.998621*sin(x1 * x2) + 109.05904865455392,0,5
airfoil,"{'expolim': 3, 'max_terms': 4}",2.5252236779642443,1.8838708082433555,0.00040940543612226477,3753.526884317398,2752981732639.1597*cos(x3^-2 * x4^2) + 4.684686*log(x0^-2 * x2^-2 * x3^2 * x4^-1) + -11.017448*tanh(x0^-3 * x1 * x2^-2 * x4^-2) + -0.252847*id(x0^-1 * x2 * x4^-2) + -2.140857*id(x0^-1 * x1 * x4^-1) + 3.948055*log(x2 * x3^-1) + -14.572957*sqrt.abs(x0^-2 * x2^-2 * x3^2 * x4) + 1.610091*id(x2 * x3^-1 * x4^-1) + -2752981732496.8267,1,0
airfoil,"{'expolim': 3, 'max_terms': 6}",2.4159494040963665,1.8196935283965887,0.0003744006595945632,3710.716305017471,-4.25977*log(x0^2 * x2^-2 * x4) + -22.114903*sqrt.abs(x0^-1 * x1 * x2^-1) + 14.878138*log(x2^-1) + 7.594364*tanh(x0^-2 * x2^-1 * x3^2 * x4^-1) + -32.127129*tanh(x0^-1 * x4^-1) + -34057.573055*cos(x2^-2 * x3^-1 * x4^2) + 15.23618*sqrt.abs(x2 * x3 * x4) + -4382.661317*id(x1 * x2 * x3^-1 * x4) + 34213.546411739386,1,1
airfoil,"{'expolim': 2, 'max_terms': 6}",2.510337817681369,1.8544263889669987,0.00040422435382653904,3705.334715127945,10.793402*tanh(x0^-2 * x2^-1 * x3^2 * x4^-1) + 31.677077*tanh(x0 * x4) + -6.018336*id(x0^-1 * x1 * x2^-1) + 0.030372*sqrt.abs(x3^-1 * x4^-2) + 2.845057*tanh(x0^-1 * x1^2 * x2^-2 * x3^2 * x4^2) + -0.0*id(x0 * x2^-2 * x4^-1) + -0.182916*sqrt.abs(x0^2 * x2 * x3^-1 * x4) + -670930.707948*exp(x2 * x3^-1 * x4^2) + 671018.1942683106,1,2
airfoil,"{'expolim': 3, 'max_terms': 10}",2.4801541056645875,1.8786574567135248,0.0003946400648428593,3738.517322063446,-0.000129*sqrt.abs(x0^-2 * x1^2 * x2^-2 * x3^3 * x4^-2) + -0.155155*sqrt.abs(x0) + -10.331586*tanh(x0^-1 * x4^-1) + -1298.247499*sqrt.abs(x0^-1 * x2^-1 * x3^-1 * x4) + -5.518096*log(x0 * x2 * x3^-1 * x4) + -17.449612*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + 10.142341*id(x0^-2 * x1^2 * x2 * x3 * x4^-1) + -1.283187*sqrt.abs(x0^-1 * x2 * x3 * x4^-1) + 118.17660271846741,1,3
