gen,bestfit,pmean
0,7.04231543711221,6.299999999999999e+299
1,6.336985185601402,3.9e+299
2,4.934173599764546,2.4000000000000006e+299
3,5.065968317908981,6.000000000000001e+298
4,4.946882214694107,5e+298
5,4.946882214694107,7.467228018925949
6,4.919335016978305,1.0000000000000001e+298
7,4.790607128077471,6.683760269139863
8,4.774044402813058,6.296645918142259
9,3.907117926622948,5.962062896504607
10,3.4755503932344185,1.0000000000000001e+298
11,3.075198142822347,4.0000000000000003e+298
12,3.075198142822347,1.0000000000000001e+298
13,2.9194114160493077,3.9100610338450044
14,2.8265623769027775,1.0000000000000001e+298
15,2.584255791551239,3.3784118909442302
16,2.584255791551239,3.1686171274279182
17,2.584255791551239,3.072592354729403
18,2.574752937264892,3.0000000000000003e+298
19,2.574752937264892,2.9505887974298948
20,2.5387676706911764,2.8961931701872707
21,2.5214108676172593,1.0000000000000001e+298
22,2.5214108676172593,2.8166469549459445
23,2.369724300272486,2.743253287087372
24,2.367758299198144,2.692904719489873
25,2.3271796171981443,2.643328760900484
26,2.3271796171981443,2.5846020940124053
27,2.269164584658237,2.554885742530032
28,2.269164584658237,2.5314997820320086
29,2.3316530978826115,2.505088187512367
30,2.1387413749538817,2.4756374122243328
31,2.1387413749538817,2.4487075645151046
32,2.1387413749538817,2.4283637557611963
33,2.1387413749538817,2.4333095433087286
34,2.1387413749538817,2.0000000000000002e+298
35,2.017710476734265,2.381173134212031
36,2.017710476734265,2.3400273608559656
37,2.0177104767342646,2.2975891424779995
38,1.9606803408833045,2.2707727191681317
39,1.9606803408833045,2.2858090029085467
40,1.9606803408833045,2.1978848113496223
41,1.8609300316210848,2.1336534841877306
42,1.843481012392205,2.115888200117149
43,1.8255274614418802,2.0000000000000002e+298
44,1.8311226409782266,1.0000000000000001e+298
45,1.8285730482575244,1.9951129421743394
46,1.8311226409782266,2.0000000000000002e+298
47,1.8311226409782266,1.0000000000000001e+298
48,1.8311226409782266,1.9394522517433403
49,1.8194022482511898,1.922270598078045
50,1.782441573889151,1.9166342058916939
51,1.782441573889151,1.909886310038232
52,1.7835077849341732,1.0000000000000001e+298
53,1.7835077849341732,1.0000000000000001e+298
54,1.7669866885275507,1.0000000000000001e+298
55,1.76532683132364,1.8543650422797675
56,1.76532683132364,1.843031273509035
57,1.7667273710323323,1.0000000000000001e+298
58,1.7667273710323323,1.849878291885296
59,1.7667273710323323,1.928511759510091
60,1.7667273710323323,2.0000000000000002e+298
61,1.7667273710323323,1.8315426788611455
62,1.7651828354800188,1.0000000000000001e+298
63,1.764167793902397,1.7986874703658162
64,1.7569496488615133,1.8132309010181535
65,1.7509238471872481,1.8306099939874434
66,1.7511436041023456,1.8071158779620315
67,1.734621917109801,1.0000000000000001e+298
68,1.7511436041023456,1.7999449113404697
69,1.7511436041023456,1.7787691533080652
70,1.705615622717029,1.771178016185931
71,1.705615622717029,1.0000000000000001e+298
72,1.702643178657505,1.0000000000000001e+298
73,1.7026431786538292,1.8167011497052123
74,1.7026431786538292,1.0000000000000001e+298
75,1.7026431786538292,2.0000000000000002e+298
76,1.7344731731022602,1.8126136160198374
77,1.705615622717029,1.8150722826108845
78,1.7325724775005191,1.8471516604558096
79,1.720741121407123,1.7828197044613254
80,1.720741121407123,1.8274826122344376
81,1.720550170627325,1.7633325398839983
82,1.720550170627325,1.782501628402655
83,1.720741121407123,1.823732876814891
84,1.719363887025542,1.8740180763126262
85,1.719078147314937,1.7723949762544802
86,1.719078147314937,1.0000000000000001e+298
87,1.719078147314937,1.793458090473
88,1.719078147314937,1.8175093920936063
89,1.719078147314937,1.7972903100096709
90,1.7190759164141989,1.8166693526121547
91,1.719078147314937,1.0000000000000001e+298
92,1.719078147314937,1.803732506453504
93,1.719078147314937,1.762542023622781
94,1.719078147314937,1.797459175582696
95,1.719078147314937,1.8117891595787707
96,1.719078147314937,1.8216974300804822
97,1.719078147314937,1.7691340587672164
98,1.7068430042650786,1.8133141539100088
99,1.7068430042650786,1.915019557170674
100,1.7068430042650786,2.0000000000000002e+298
101,1.7068430042650786,2.0000000000000002e+298
102,1.7068430042650786,1.7463239084155449
103,1.7068430042650786,1.7825513310662482
104,1.7068430042650786,1.0000000000000001e+298
105,1.7025485557046134,1.8261589777972356
106,1.7025485556594566,1.7653200481416693
107,1.697817179092416,1.7310866198278325
108,1.697817179092416,1.793708918901817
109,1.697817179092416,1.762851548359598
110,1.697817179092416,1.7882909147873536
111,1.6978171790924157,1.7901921847659237
112,1.6978171790924157,1.746656963073558
113,1.6978084391399224,1.7782308995334273
114,1.6929311918345673,1.7541056231275858
115,1.6978084391399215,1.7775645906810353
116,1.6964911853728077,1.8075888045654016
117,1.6966858361994748,1.8226478426397656
118,1.6966858361994748,1.0000000000000001e+298
119,1.6694206538151521,1.0000000000000001e+298
120,1.6940652661757047,1.0000000000000001e+298
121,1.6940652661742626,1.0000000000000001e+298
122,1.6940652661757047,1.72927645428575
123,1.6940652661756186,1.7460986193710923
124,1.6940652661756186,1.7092826215992831
125,1.6940652661757047,1.7061350900134509
126,1.6940652661757047,1.7800587235351455
127,1.6940652661757047,1.0000000000000001e+298
128,1.6940652661756905,2.0000000000000002e+298
129,1.693365079922988,1.0000000000000001e+298
130,1.6777714913024564,1.8186647352341927
131,1.6804249371605577,1.0000000000000001e+298
132,1.6792682332230346,1.0000000000000001e+298
133,1.6792682332230346,1.0000000000000001e+298
134,1.6792682332230346,1.7777822794887244
135,1.6804242534425053,1.83087889722649
136,1.6804242534425053,1.7545633344757403
137,1.6699903064582413,1.0000000000000001e+298
138,1.6699903064582413,1.7565844999632594
139,1.6699903064582413,1.0000000000000001e+298
140,1.6699891009261156,1.7079313049522387
141,1.669989100926115,2.0000000000000002e+298
142,1.669989100926115,1.7428247530718728
143,1.663314654175956,1.7231040257271737
144,1.6616568360601711,1.7422244780829994
145,1.6615282925931452,1.0000000000000001e+298
146,1.6615282925931452,1.7437183531543505
