gen,bestfit,pmean
0,7.524078181823375,8.7e+299
1,7.524078181823375,7.299999999999999e+299
2,7.524078181823375,6.4000000000000005e+299
3,5.728272251264788,4.9999999999999995e+299
4,5.176695104830761,3.5e+299
5,5.176695104830761,1.7e+299
6,4.947192173769498,9.000000000000002e+298
7,4.653131274189051,2.0000000000000002e+298
8,4.6891968297871784,1.0000000000000001e+298
9,4.7338767683717835,1.0000000000000001e+298
10,4.614718926703802,6.086948752106594
11,4.614718926703802,1.0000000000000001e+298
12,4.646536863154491,2.0000000000000002e+298
13,4.46590871394217,4.0000000000000003e+298
14,3.8880021207737405,1.0000000000000001e+298
15,3.8880021207737405,3.0000000000000003e+298
16,3.804467482627357,1.0000000000000001e+298
17,3.8042402136166054,4.609851942552985
18,3.8045950609347012,2.0000000000000002e+298
19,3.7883443541453827,1.0000000000000001e+298
20,3.7883443541453827,2.0000000000000002e+298
21,3.7883443541453827,1.0000000000000001e+298
22,3.30834030393265,3.0000000000000003e+298
23,3.3083419100700118,4.0000000000000003e+298
24,3.3083419100700118,3.8831821432991136
25,3.3083419100700118,2.0000000000000002e+298
26,3.308275721382798,3.7643710071368144
27,3.2841498467572876,3.0000000000000003e+298
28,3.1347529497280653,3.605091711342789
29,2.871293466628009,1.0000000000000001e+298
30,3.1347529497280653,3.4052581270552027
31,2.6154276482971266,3.3238931536205483
32,2.6154276482971266,3.276068454144604
33,2.6154276482971266,3.228270656717404
34,2.6098521524924947,3.1393287175541786
35,2.6098521524924947,3.0222405332584237
36,2.6098521524924947,2.9618243832209754
37,2.578245917883342,2.9101699038616107
38,2.5572747540538687,1.0000000000000001e+298
39,2.5572747540538687,2.7343790644964345
40,2.5705177654720623,1.0000000000000001e+298
41,2.5705177654720623,2.7236327098374598
42,2.567207445657439,2.0000000000000002e+298
43,2.567207445657439,2.703599359721391
44,2.4893661971238834,2.649985082524882
45,2.5138296568313945,2.64645797014319
46,2.5138296568313945,1.0000000000000001e+298
47,2.5138296568313936,2.6014505031366917
48,2.497131208887348,2.0000000000000002e+298
49,2.281149530654027,1.0000000000000001e+298
50,2.281149530654027,2.5912903146352364
51,2.222941904995394,1.0000000000000001e+298
52,2.222941904995394,1.0000000000000001e+298
53,2.222941904995394,1.0000000000000001e+298
54,2.222941904995394,1.0000000000000001e+298
55,2.2217378445707396,3.0000000000000003e+298
56,2.2017127635986475,2.498986863896769
57,2.2017127635986475,2.4349765272104333
58,2.2017127635986475,2.3912444833251616
59,2.1992303841326883,2.3981094022225498
60,2.1992303841326883,2.3216915265461235
61,2.1937010498623737,2.290691227477977
62,2.1937010498623737,2.29680514991586
63,2.173448822029612,2.3022630447774226
64,2.1514653697157966,1.0000000000000001e+298
65,2.1631032849504424,1.0000000000000001e+298
66,2.1814857723164405,2.2439192270825403
67,2.1814857723164405,2.245767117435689
68,2.1669954714916257,2.2494492762128955
69,2.1669954714916257,2.2172112845790655
70,2.1669954714916257,2.0000000000000002e+298
71,2.153104956943676,1.0000000000000001e+298
72,2.1531049569436753,2.2152162701657394
73,2.136224585808341,1.0000000000000001e+298
74,2.1467058754205492,2.260385738604105
75,2.1467058754205492,2.2372648587331114
76,2.1467058754205492,1.0000000000000001e+298
77,2.1467058754205492,1.0000000000000001e+298
78,2.1467058754205475,1.0000000000000001e+298
79,2.146705875420546,2.24110146362341
80,2.146705763684338,1.0000000000000001e+298
81,2.146705763684338,2.230825356802829
