gen,bestfit,pmean
0,9.160991735890233,5.199999999999999e+299
1,9.160991735890233,2.4000000000000003e+299
2,7.483874293268719,8.000000000000001e+298
3,6.099665793763454,3.0000000000000003e+298
4,6.099665793763454,2.0000000000000002e+298
5,5.769378058481262,9.403099992927052
6,5.916084042075873,8.50209153015171
7,6.045306791399298,8.155392074893085
8,4.72865601056045,1.0000000000000001e+298
9,4.72865601056045,1.0000000000000001e+298
10,4.72865601056045,6.775444889772683
11,4.13908679822167,6.419584893691912
12,4.13908679822167,5.973268361489088
13,3.996058128864714,5.730087139732936
14,3.578978942840646,1.0000000000000001e+298
15,3.1195640712427295,5.47425840554897
16,2.9215356694707904,5.1371571569896854
17,3.118370462759341,4.891366152576392
18,3.118370462759341,4.682507958968045
19,2.5226803016769073,4.585291554562581
20,2.5226803016769073,4.334914609246948
21,2.521616448718298,4.037340136698429
22,2.510010491052073,3.5972382795479922
23,2.5050688541886124,3.508585813936043
24,2.4701262625941305,3.273098525182196
25,2.216600121406676,3.098375884839585
26,2.216600121406676,2.898371300577823
27,2.216600121406676,1.0000000000000001e+298
28,2.216600121406676,2.778154346429088
29,2.216600121406676,2.7147179385452245
30,2.216600121406676,2.711399417450003
31,2.216600121406676,2.670192670967034
32,2.216600121406676,2.7271253469903103
33,2.2117533881284492,2.601264526072815
34,2.2117533881284492,2.5929269889046282
35,2.2117533881284492,2.4921913927961743
36,2.2117533881284492,2.536569447365589
37,2.2117533881284492,2.580911047815026
38,2.2117533881284492,2.544900243833278
39,2.2117533881284492,2.7041518987891617
40,2.1208551048661928,2.516616518684696
41,2.1780373241007576,2.470645284051098
42,2.1428951477694747,2.432700298217056
43,2.0014831474202017,2.4200893094646574
44,1.954583710471471,2.474297118471601
45,2.0014831474202017,2.4353435529541905
46,1.9219526414892336,2.386838518901206
47,1.9219526414892336,2.360421068376754
48,1.9219526414892336,2.3698779943687978
49,1.9219526414892374,2.3623266662654956
50,1.7289639713082037,2.292285405436486
51,1.7289639713082037,2.3865016573612254
52,1.9129069819139297,2.2875597544400676
53,1.8904696924256903,2.2573106566847305
54,1.6912216193872507,2.174401104003988
55,1.6912216193872507,2.0926944844824065
56,1.6912216193872507,2.131133512025946
57,1.6912216193872507,2.2291035329929554
58,1.6912216193872507,2.2610076477448935
59,1.6912216193872507,2.1766479953420106
60,1.5964120088975045,2.1959538524493634
61,1.5964120088975045,2.1975962974536283
62,1.6912216193872507,2.116357957884449
63,1.401316281852332,2.0485863183565947
64,1.401316281852332,1.0000000000000001e+298
65,1.5920813473101274,2.015153727622733
66,1.5615160688415537,2.04184376578761
67,1.5920813473101274,2.00662691252249
68,1.5920813473101274,1.9402472845951129
69,1.5920813473101274,1.9747040684364956
70,1.5920813473101274,2.057963607051592
71,1.5920813473100357,1.9189048312134072
