gen,bestfit,pmean
0,4.554030630912552,8.900000000000001e+299
1,4.554030630912552,8.2e+299
2,4.554030630912551,6.9e+299
3,4.717340788088867,4.200000000000001e+299
4,4.717340788088867,2.1000000000000003e+299
5,4.521029018358317,5e+298
6,4.521029018358317,2.0000000000000002e+298
7,4.521029018358317,1.0000000000000001e+298
8,4.521029018358317,6.365806973026954
9,4.521029018358317,1.0000000000000001e+298
10,4.323420201928136,5.206016028514309
11,4.122169377091185,4.829717793051409
12,4.301273710133132,4.651038266563401
13,3.868140080752204,1.0000000000000001e+298
14,3.868140080752204,4.507329772852185
15,3.843717415491426,4.491107063529861
16,3.802819868854393,4.315983203450828
17,3.682684852989627,1.0000000000000001e+298
18,3.4582964490912436,4.061727099325089
19,3.6920485707902198,3.9673039183191
20,3.2784720500272453,3.838094837019422
21,3.2784720500272453,1.0000000000000001e+298
22,3.2784720500272453,3.722794058617202
23,3.2784720500272453,1.0000000000000001e+298
24,3.2199535571682785,1.0000000000000001e+298
25,3.241315651226781,3.5157513431206855
26,3.2705411348776834,3.447621500898057
27,2.9127111285375573,3.474712722475492
28,2.9127111285375573,3.369612166444802
29,2.9127111285375573,1.0000000000000001e+298
30,2.9127111285375564,1.0000000000000001e+298
31,2.9127111285375564,1.0000000000000001e+298
32,2.9043477535684907,3.286303143365139
33,2.9043477535684907,3.2590280814929593
34,2.939066856071691,2.0000000000000002e+298
35,2.916731294338421,1.0000000000000001e+298
36,2.9042440236370175,3.191859478818522
37,2.9042440236370175,3.1242261589460436
38,2.9038506637461636,3.056004613076447
39,2.581016565676646,2.9770736232506865
40,2.581016565676646,1.0000000000000001e+298
41,2.8151665237341432,1.0000000000000001e+298
42,2.8151665237341432,2.915320473622449
43,2.8151665237341432,2.901155141990233
44,2.8151665237341432,1.0000000000000001e+298
45,2.7985448479411885,2.8705295545438116
46,2.7985448479411885,2.8597754169010323
47,2.6330421903503796,2.0000000000000002e+298
48,2.5588641301586366,2.9137735115582775
49,2.5588641545511615,2.8204391383269023
50,2.694691639224905,1.0000000000000001e+298
51,2.6946916392147013,2.0000000000000002e+298
52,2.6784700519011735,2.802673738682165
53,2.678470051842259,2.7950921009888305
54,2.602755441790825,2.0000000000000002e+298
55,2.602755441790825,2.752150851138124
56,2.602755441790825,2.710708299155038
57,2.600715938929238,2.69756121636413
58,2.513822350323102,2.7005983162844776
59,2.513822350323102,2.6687981935543506
60,2.513822350323102,2.658181672666586
61,2.304788996549607,2.6453406783374502
62,2.304788996549607,2.613937958416895
63,2.304788996549607,1.0000000000000001e+298
64,2.304788996549607,2.5804891499276614
65,2.304788996549607,2.0000000000000002e+298
66,2.3047890092155487,2.5578570802607286
67,2.305862572970149,2.523649425304489
68,2.303691618058558,2.47366430549034
69,2.303691618058558,2.473995521651126
70,2.303691618058558,2.4222912506132044
71,2.3036916182278118,2.3833058778841725
72,2.29620650895375,2.4177278255404664
73,2.2847202344495514,2.3543745448820634
74,2.29620650895375,2.3299028479673125
75,2.29620650895375,2.327114307608974
76,2.2547673170958245,2.0000000000000002e+298
77,2.225014928676622,1.0000000000000001e+298
78,2.2401599927678277,2.366337284883804
79,2.2401599927678277,2.341737666556489
80,2.2401599927678277,2.3580341765950275
81,2.2401599927678277,2.3409025231839298
82,2.2387279887929674,2.335825780610886
83,2.2387279887929674,2.3394987725646263
84,2.2319882504412325,1.0000000000000001e+298
85,2.2201666519561267,2.328340982413432
86,2.2201666519561267,2.340459715454978
87,2.2201666519561267,2.2854399317500884
88,2.1282791289529657,2.2825273123290044
89,2.1282791289529657,2.0000000000000002e+298
90,2.1377907296274263,1.0000000000000001e+298
91,2.132375816747994,2.2712849976909846
92,2.132375816747994,2.232744936826963
93,2.1323624545454876,1.0000000000000001e+298
94,2.1323624545454876,2.0000000000000002e+298
95,2.131479334716436,2.2233698557796466
96,2.1310106446045354,2.1885042271080017
97,2.1259389557054105,2.2022273992266452
98,2.130309811140636,2.199208834837199
99,2.130309811140636,1.0000000000000001e+298
100,2.129468793744762,2.1866426489237245
101,2.1253725143856097,2.1728858296826847
102,2.1253725143856097,2.175372097894142
103,2.1253725143856097,1.0000000000000001e+298
104,2.0643438962439484,2.1810028740642085
105,2.067517063362561,2.177110869172536
106,2.067517063362561,2.178045934218473
107,2.024094391518548,2.158254820005575
108,2.0240943915186116,2.1370731326224126
109,2.0228840324100106,1.0000000000000001e+298
110,2.0228840324100106,2.153044420376103
111,2.0240943915185756,2.130793611381672
112,2.0229089809450143,2.1229567362538684
113,2.0240943915185636,2.1304652675195146
114,2.0229089809449854,2.1229729186174664
115,2.0211476956079997,2.132561567310316
116,1.8254596001849934,2.1464380553829456
117,1.8254596001849934,1.0000000000000001e+298
118,1.975829609089875,2.0875820373802383
119,1.8570585356839675,2.0834182789076654
120,1.8570585356839675,2.053655346377625
121,1.8570585356839675,2.0596957039519435
122,1.8254596001849934,2.0961698885553077
123,1.8254596001849934,2.0922681153826517
124,1.8254596001849934,2.028507066108284
125,1.821922335395537,2.051757547157663
126,1.8219223353955336,1.993819920524703
127,1.821922335395537,2.04356682037052
128,1.8208114251692173,1.9937266443825452
129,1.821922335395537,2.00067724929239
130,1.821922335395537,1.9771160604953097
131,1.8219223353955054,1.951461410621226
132,1.8219223353955054,1.9609291356204133
133,1.821639829469447,1.0000000000000001e+298
134,1.821639829469447,1.9750541906475134
135,1.8219135711413217,1.9420025666966974
136,1.8213467015747977,1.9452784675425279
137,1.8213467015747977,1.0000000000000001e+298
138,1.8207355084266412,1.9287101270809461
139,1.818404126258651,1.9020598877934203
140,1.820609137938294,1.9014640912803629
141,1.820609137938294,1.922543538988175
142,1.820609137938294,1.9141167890820479
143,1.8201416027113284,1.9048427631130178
144,1.8201416027113284,1.0000000000000001e+298
145,1.8201416027113229,1.920938714081632
146,1.8201416027113322,1.9241264055805587
147,1.8201416027113322,1.9081332415701828
148,1.8201416027113322,1.8967927036239807
149,1.8201416027113322,1.9027354604727673
150,1.8201416027113189,1.9227280344773416
151,1.819110812830383,1.8911890763523393
152,1.819110812830383,1.8521390943152503
153,1.819110812830383,1.9619897538762479
154,1.808031017688834,1.9221122819600773
155,1.819110812830383,2.0000000000000002e+298
156,1.8180859925369333,1.9289143405589715
157,1.8180859925369333,1.9090833859221203
158,1.8191055145844166,1.872452564968443
159,1.7776128355544938,1.9163096612870942
160,1.7776128355544938,1.8988761671735055
161,1.7776128355544938,1.8758816644937313
162,1.7776128355544938,1.0000000000000001e+298
163,1.7776128355544938,1.8501674093198326
164,1.7721135967407415,1.9363256419750985
165,1.7721135967407415,1.8756694296284584
166,1.7721135967407415,1.8703907226165717
167,1.7413835382204617,1.8681418526179057
168,1.7584727597172598,1.8606400893104031
169,1.7719538427826618,1.8877311555554313
170,1.7721135967404995,1.8631579075405387
171,1.7705071463502067,1.9308556034754556
172,1.7689318046464817,1.9057895702709124
173,1.7689318046464817,1.0000000000000001e+298
174,1.7689318046464817,1.8554215637066094
175,1.7567082438072348,1.8751440610118695
176,1.7390506969956394,1.87003782948803
177,1.7390506969956394,1.8762952288746582
178,1.7390506969956394,1.0000000000000001e+298
179,1.7390506969956394,1.0000000000000001e+298
180,1.7390506969955781,1.8339343204064564
181,1.7390506969955781,1.8633841527401782
182,1.7146244487669422,1.8388518143701875
183,1.7389999191332797,1.8232977692892636
184,1.7389999191332797,1.8205439286359992
185,1.7180785797047375,1.8571415688412316
186,1.7180785797047375,1.7925295328765964
187,1.7180784857737763,1.8425053678967138
188,1.7180784857737763,1.8187178073398977
189,1.718054101916819,1.7681735317418816
190,1.718054101916819,1.7689413835194936
191,1.718054101916819,1.7580380009535153
192,1.6168892770161525,1.7804231863285318
193,1.6168892770161525,1.7883134645048175
194,1.6168892770161525,1.0000000000000001e+298
195,1.6168892770161525,1.7702979744952878
196,1.616317377248889,1.0000000000000001e+298
197,1.6072884487951384,1.0000000000000001e+298
198,1.6072884487951384,1.7606324937556277
199,1.607288097975724,1.0000000000000001e+298
200,1.6158344889079026,1.7131093368258195
201,1.607334661485049,1.7210956557556123
202,1.6158344889079026,1.7467012028877793
203,1.6158344889079026,1.7143430670996542
204,1.3622146516183593,1.666772736032704
205,1.3622146516183593,1.0000000000000001e+298
206,1.3622146516183575,1.656460134759128
207,1.3622146516183575,1.6365899489311153
208,1.1604660791509263,1.7354150603531324
209,1.1604660791509263,1.7392284010440948
210,1.1604660791509263,1.6468885680976246
211,1.1600898401122512,1.0000000000000001e+298
212,1.1600898401122512,1.0000000000000001e+298
213,1.1599886564219652,1.5231900724158343
214,1.1599886564219652,1.5017092104751786
215,1.1599886564219652,1.4563866524083775
216,0.9418187593437244,1.0000000000000001e+298
217,1.1542819891023193,1.4760212861837363
218,1.1542819891023193,1.4569139016966812
219,1.159988656421919,1.4591827729552624
220,1.068044066979865,1.40854275894825
221,1.068044066979865,1.4015672979122669
222,1.1532510246292536,1.3424950131206845
223,1.0567310913441137,1.0000000000000001e+298
224,1.1532510246292536,1.372364773615208
225,1.1532510246292536,1.3377782101008993
226,0.7243982509009598,1.3152617248494547
227,0.7243982509009598,1.3604038544283383
228,0.7243982509009307,1.3217922075194695
229,0.7243982509009307,1.2850865810636356
230,0.7243982509009307,1.3252486280765061
231,0.7239325666532005,1.2383146992920866
232,0.7239325666532005,1.2763120915524864
233,0.723932566653167,1.1921543483105557
234,0.7239324530298363,1.1519169383546966
235,0.7239324399111932,1.1479142286900168
236,0.7239324399111932,2.0000000000000002e+298
237,0.7143018406073471,2.0000000000000002e+298
238,0.7131427063203891,1.0790808657529098
239,0.7095367524252925,1.0739549693057528
240,0.709536752425247,1.1138150446623154
241,0.709536752425247,0.9666040387181775
242,0.709536752425247,0.9559395544342049
243,0.7095367524252925,0.9357584219790368
244,0.7095367524253294,0.8542300589134344
245,0.7095367524253294,0.9247249349295279
246,0.7095366865662601,0.9328196614169006
247,0.7095366865286953,0.9081897195940349
248,0.7084845426783568,0.8853529652706986
249,0.7084845426783568,0.9212298403962074
250,0.7084845426783568,0.8829019826471458
251,0.7084845426783568,0.8862266794865077
252,0.7084845426783568,0.9071024647718157
253,0.7084845426783568,0.9224899206523972
254,0.708477437187731,0.9489133341960422
255,0.7084106047059454,1.0037842203254779
256,0.7084106047059454,0.98864933999938
257,0.7084106047059454,0.9955269113287213
258,0.7084106047059454,1.0732754713225243
259,0.7084106047059454,0.9831566389764964
260,0.708410604704342,0.8930826549300085
261,0.7081471178871807,0.8797725668773164
262,0.7081471178871807,0.9948909989416671
263,0.7081471178871807,0.9285693217168617
264,0.7081471178871807,0.9486290037026077
265,0.7081471178871807,0.9316831813420131
266,0.7081471178871807,0.9490106940738131
267,0.7081471178871807,1.0000000000000001e+298
268,0.7076239056893916,1.0000000000000001e+298
269,0.7076239056893382,0.9710933815272607
270,0.7076239056893382,1.0331429774987633
271,0.7076239056893382,0.9336637326005635
272,0.7075505746561602,0.924658015183773
273,0.7076239056893755,0.8967919282949813
274,0.7076224694750582,0.9183636315132572
275,0.7076239056893523,0.9055605090024581
276,0.7076239056893385,0.878740418178628
277,0.7076239056893385,2.0000000000000002e+298
278,0.7076169337963968,0.872312863499754
279,0.7076237709294713,0.8598035792271967
280,0.7076224694750582,0.9164828853336853
281,0.7076224694750582,0.911022823353465
282,0.7075505746507392,1.0097138394038805
283,0.7076224694750582,0.9653067597427228
284,0.7076224688883535,1.0000000000000001e+298
285,0.7076224683017159,0.9912736784073337
286,0.7076169351709718,0.8800945586222424
287,0.7076169341111722,0.9902676389820709
288,0.7076169307065316,0.8864524930870459
289,0.7075505746540686,1.0257890778484218
290,0.7075505746540686,0.9222978922535077
291,0.7076169294378271,0.9093512499416053
292,0.7075505746539402,1.0000000000000001e+298
293,0.7075505746539402,0.8604742929932676
294,0.7075505746539402,0.920451259891417
295,0.7076169294378271,0.9356455675804334
296,0.707616930534358,0.9017144080450228
297,0.7076169290415014,0.9025476211631084
298,0.7075505746512979,0.8807953100391214
299,0.7075505747297018,0.8738745449048316
