dataset,best_params,RMSE_test,NMSE_test,MAE_test,Time,Expression,Fold,Rep
airfoil,"{'expolim': (-3, 3), 'maxterms': 15, 'minterms': 3}",2.4911586792508653,1.7112414723409701,0.0003949435741172687,20384.14923667908,-3.071*tanh(x0^3 * x2^3 * x3^-3 * x4) + -1.688*log(x0^3 * x3^2 * x4^3) + -0.081*sqrt.abs(x0^2 * x2 * x3^-2) + -6.472*tanh(x1^3 * x2^3 * x3^-2 * x4^-2) + 6.289*tanh(x0^3 * x1 * x2^2 * x3^-3 * x4) + -0.171*sqrt.abs(x0^-3 * x1^2 * x2^-2 * x3^2 * x4^-1) + -1.6*sqrt.abs(x0^-2 * x2 * x4^-3) + -5.532*tanh(x0^-2 * x1^3 * x2^-1 * x3^-1 * x4^-1) + -2.173*tanh(x0^3 * x1^3 * x2^3 * x3^-3 * x4^2) + -735.822*sqrt.abs(x0^-1 * x2^2 * x3^-2 * x4^-1) + 0.105*sqrt.abs(x0^-1 * x1^3 * x2^2 * x3^3) + 3.709*tanh(x0^3 * x1^-2 * x4^3) + -2.926*tanh(x1^3 * x3^-3 * x4^-1) + -0.246*log(x0^-1 * x2^3 * x3^-2 * x4) + -2.065*sqrt.abs(x0^-1 * x1^3 * x2^2 * x3^3 * x4^2) + 146.627,0,0
airfoil,"{'expolim': (-2, 2), 'maxterms': 15, 'minterms': 4}",[2.43457031],[1.71695835],[0.00037778],3939.1417462825775,['20.815*sqrt.abs(x0^-1 * x3^-2 * x4^-2) + 1.894*log(x0^2 * x2^-2 * x3^-1 * x4) + -58.666*sqrt.abs(x0^-2 * x1 * x2^-2) + -1.646*sqrt.abs(x0^-2 * x2^-2 * x3 * x4^-1) + 139.681*tanh(x0^-2 * x2^-1 * x4^-1) + 7.801*tanh(x0^2 * x1 * x3^-1 * x4^2) + -4.083*tanh(x1^2 * x2^2 * x3^-2 * x4^-2) + 0.361*(x0^-2 * x1 * x2^-2 * x4^-1) + -162.873*sqrt.abs(x0^-2 * x3^-1 * x4^-2) + 0.073*(x0^-1 * x1^2 * x2^2 * x3 * x4^-1) + -5.346*log(x0^2 * x3^-1 * x4) + 16365.512*sin(x0^-1 * x1^2 * x2^-2 * x3^-2 * x4^2) + -5.843*tanh(x0^2 * x1 * x2^2 * x3^-2 * x4) + -172.136*exp(x1 * x4^2) + -0.019*(x0 * x3^-1) + 314.388'],0,1
