gen,bestfit,pmean,plen
0,4.221344982849782,5.750000000000003e+99,7.775
1,4.213920910166635,3.0500000000000013e+99,6.935
2,4.213920910166635,1.0000000000000003e+99,6.905
3,4.19733847337921,2.5e+98,7.275
4,4.140298360655172,5e+97,8.09
5,4.103122832913367,4.491257059352868,9.205
6,3.9632137498614646,4.31558689936623,9.955
7,3.9570375989303876,4.223428951090629,10.395
8,3.7827652196492587,4.161023544741745,10.76
9,3.7827652196492587,4.118120095851489,11.1
10,3.770126943128142,4.06785804195721,11.405
11,3.752931872403081,4.051225233761318,11.615
12,3.7090766755121023,3.989837868445453,11.975
13,3.655545328439648,3.9174932610350934,12.1
14,3.6363367826069015,3.8571684373318957,12.5
15,3.636826299996874,3.807866583738191,13.04
16,3.634742654217928,3.769284298666999,13.3
17,3.494735482003439,3.7337665661417105,13.67
18,3.3670853800037217,3.7059762116151997,13.77
19,3.3670853800037217,3.6689499426677177,13.895
20,3.3670853800037217,3.6348134068132185,14.07
21,3.2522351330244765,3.5719248943945026,14.33
22,3.3098001038104634,3.5298999010031253,14.44
23,3.30090514839331,3.4839821301671026,14.485
24,3.266794999735632,3.439089277821957,14.455
25,3.2834671846450436,3.4033518458305427,14.435
26,3.2805724271324994,3.389264247092878,14.38
27,3.223801032388832,3.3545721483591966,14.42
28,3.236609999704586,3.339465873511662,14.44
29,3.2305971808169054,3.3187229143379278,14.59
30,3.1883058590317916,3.323216285811,14.6
31,3.1857095653044154,5e+97,14.57
32,3.2350088101368586,3.2954799186717567,14.53
33,3.186132101551968,3.296828005307438,14.47
34,3.186132101551968,3.2957000873460554,14.61
35,3.186132101551968,3.2674472388730287,14.635
36,3.186132101551968,3.265351710336089,14.675
37,3.169335252701654,3.2584184104704246,14.65
38,3.169335252701654,3.248535255112796,14.705
39,3.169335252701654,3.237937574931466,14.645
40,3.169335252701653,3.2297235367473043,14.605
41,3.139645121639116,5e+97,14.585
42,3.139645121639116,3.2257470024886046,14.555
43,3.105664515524852,3.2158737026347897,14.605
44,3.105664515524852,3.210238980882067,14.57
45,3.090033920808583,3.216988932609854,14.525
46,3.090033920808583,3.204253743703674,14.59
47,3.090033920808583,3.1936773040651047,14.59
48,3.090033920808583,3.19068358257545,14.645
49,3.095803662605682,3.178236068977725,14.605
50,3.040831764219601,3.1744968262437165,14.545
51,3.040831764219601,3.1549515285596677,14.55
52,3.040831764219601,3.1420696671464214,14.515
53,3.0347830463611856,3.1396839327650383,14.53
54,3.0347830463611856,3.1351707220837763,14.46
55,3.0347830463611856,3.1210919576754503,14.41
56,3.0347830463611856,3.119293705408243,14.495
57,3.026346967579251,5e+97,14.53
58,3.0347830463611856,3.117985506328128,14.545
59,3.0408317642196003,3.1100438133685246,14.585
60,3.01520933054693,5e+97,14.59
61,3.015209330546929,5e+97,14.555
62,3.0104718586545713,3.100606980138383,14.605
63,2.995520784909559,3.089034560555925,14.55
64,2.9807123965944426,5e+97,14.6
65,2.9807123965944426,3.0864115699267654,14.56
66,2.9764037154812955,3.0730369066304304,14.58
67,2.970206428278739,3.085192890798008,14.675
68,2.970206428278739,3.0784193583877464,14.675
69,2.9513961140176788,3.06591002703361,14.61
70,2.9513961140176788,3.052210753900512,14.6
71,2.9513961140176788,3.047167253379314,14.595
72,2.9764037154812955,3.0467412591921117,14.615
73,2.967356661654684,3.0420678764740554,14.64
74,2.9757971313973752,3.0836588723716005,14.605
75,2.9757971313973752,3.034915113886559,14.65
76,2.9730102214501377,3.036180276451537,14.665
77,2.974874626982871,3.0522545166380133,14.645
78,2.974874626982871,3.0233372130340554,14.61
79,2.9682321364991204,3.034109733976105,14.605
80,2.9682321364991204,3.0379320522826827,14.675
81,2.941383222368836,3.020840562091914,14.745
82,2.95872917470617,3.023365382312499,14.71
83,2.95872917470617,3.0221103769826754,14.71
84,2.9364691904300284,3.015013394940082,14.665
85,2.9364691904300284,3.0089718238771095,14.7
86,2.9364691904300284,3.0002809696096033,14.71
87,2.954677500163873,3.0087128743890896,14.69
88,2.9537319128632866,3.023434404286703,14.645
89,2.941022850971798,3.0171390366669613,14.7
90,2.941022850971798,5e+97,14.73
91,2.941022850971798,2.9964412602309753,14.77
92,2.941022850971798,2.9946080355277633,14.765
93,2.941022850971798,3.0037033420058328,14.755
94,2.941022850971798,3.00745459395608,14.78
95,2.9282394790283974,3.0082221697077425,14.7
96,2.9282394790283974,2.997705859278668,14.675
97,2.9282394790283974,3.0161402563487187,14.655
98,2.9282394790283974,3.0071318599014716,14.645
99,2.914685393703011,3.021307965404466,14.6
100,2.914685393703011,3.0070221870172396,14.615
101,2.914685393703011,3.016612415132124,14.595
102,2.914685393703011,3.023248363975698,14.575
103,2.914685393703011,2.996348641396981,14.62
104,2.914685393703011,3.0172274182415544,14.61
105,2.9214906559852496,2.993537218483476,14.635
106,2.9060737316854763,3.0173647546174465,14.64
