expolim,maxterms,minterms,rmse_test,mae_test,nmse_test,time,expr
"(-3, 3)",5,3,2.7051480049740486,1.9992586534214776,0.00046957882337526777,123.94212245941162,-2.623*log(x0^3 * x2^2 * x3^-2 * x4^2) + 8.856*tanh(x0^3 * x2 * x3^-2 * x4^2) + -131.2*sin(x0^-1 * x2^-1) + 9.783*tanh(x0^3 * x3^-2 * x4^2) + 0.0*(x0^-1 * x1^3 * x2^2 * x3^2 * x4^-1) + 109.251
"(-3, 3)",5,4,3.192455225607873,2.520934078661731,0.0006533607875243362,130.57944560050964,8.531*tanh(x0^-3 * x2^-2 * x3 * x4^-3) + -6.94*sqrt.abs(x0^-1 * x2^-2) + -7.523*sqrt.abs(x0^2 * x2 * x3^-3 * x4) + -6.812*tanh(x0^3 * x2^3 * x3^-3 * x4) + -44.214*tanh(x0^-1 * x2 * x4^-1) + 127.569
"(-3, 3)",5,5,3.0495553389575685,2.4022887660319827,0.0005969512212846624,138.34016418457028,13.885*tanh(x0^-1 * x1^-1 * x2^-1 * x3 * x4^-1) + -0.118*sqrt.abs(x0^-2 * x1^2 * x2^-3 * x4^-1) + -708.974*sqrt.abs(x0^-2 * x2 * x3^-2 * x4^-2) + -0.235*sqrt.abs(x0^2 * x2^2 * x3^-2) + -7.935*tanh(x0^3 * x2^2 * x3^-1 * x4^3) + 119.326
"(-3, 3)",10,3,2.7068769480278294,2.0139752790475,0.0004702294555592283,453.8948750495911,0.762*log(x0^-2 * x2^2 * x3^-1 * x4^2) + 92.55*tanh(x0 * x2 * x3^-1 * x4) + 4.053*sqrt.abs(x0^-3 * x2 * x3^3 * x4^-2) + -68.901*sqrt.abs(x0^-3 * x1 * x2^-3 * x3 * x4) + -48.974*sqrt.abs(x0^-3 * x2 * x3^2 * x4^-2) + -109.438*sqrt.abs(x0 * x2 * x3^-1 * x4) + -15.438*tanh(x0^-2 * x1^2 * x2^3 * x3^-1 * x4^-3) + -6.669*tanh(x0^-3 * x1^2 * x2^-2 * x3 * x4^-1) + 68954.434*sqrt.abs(x0^-3 * x2^3 * x3) + -9512376981312.248*(x0^-1 * x2^3 * x3^-2 * x4^3) + 169.348
"(-3, 3)",10,4,2.4018913374287894,1.829324869666116,0.0003701921203621783,477.4408140182495,-2.798*log(x0^-2 * x2^3 * x3^3 * x4) + -0.99*sqrt.abs(x0^-2 * x1^2 * x2^-1 * x3 * x4^-1) + 48.359*tanh(x0^-3 * x2 * x3^3 * x4^-1) + -38555992.148*sin(x0^-1 * x3^-1 * x4^2) + 6.165*tanh(x0^-3 * x2^-2 * x3^2 * x4^-2) + 61357.952*tanh(x0^-3 * x2^-2) + 6.012*log(x0^-2 * x2 * x3^2) + -25.127*sqrt.abs(x0^-3 * x2 * x3^2 * x4^-2) + -1.259*sqrt.abs(x0^2 * x2^2 * x3^-1 * x4^2) + -10.413*tanh(x0^-2 * x2^-2 * x4^-1) + 140.837
"(-3, 3)",10,5,2.3723982857711383,1.771754491525479,0.00036097000447162035,487.9512848854065,-2.569*log(x0^3 * x2^2 * x3^-3 * x4^3) + -390.704*sqrt.abs(x0^-3 * x2^2 * x3^-1 * x4^-3) + -230013.169*sqrt.abs(x0^-1 * x1^3 * x2 * x3^-3 * x4^3) + -0.002*sqrt.abs(x0^-2 * x1^3 * x2^-3 * x3^3 * x4) + -21.899*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + 144.11*tanh(x0^-3 * x1^3 * x2 * x3 * x4^-1) + -48.039*tanh(x0^2 * x2^-2 * x3 * x4^3) + 2.403*tanh(x0^-1 * x1^3 * x2^-1 * x3^2 * x4^2) + -1.959*sqrt.abs(x0^-2 * x1 * x2^-1 * x3 * x4^-1) + 0.773*log(x0^-2 * x2 * x3^-3 * x4^3) + 187.961
"(-3, 3)",15,3,2.3918634749253265,1.7907151022001202,0.000367008420575952,737.2772941589355,10.241*tanh(x0^3 * x1 * x2^3 * x3^-3) + -24.054*tanh(x0^-2 * x4^-2) + -16.368*sqrt.abs(x0^-2 * x1^3 * x2^-1) + 2.292*log(x0^-3 * x2^-3 * x3^2 * x4^-2) + 7.965*tanh(x0^3 * x1^-1 * x2 * x4^3) + -858712.025*sqrt.abs(x0^-2 * x1^3 * x2^3 * x3^-2 * x4^2) + -0.0*sqrt.abs(x0^3 * x2^-2 * x3^2) + 2.091*sqrt.abs(x0^-2 * x1 * x2 * x3^3) + -10.395*tanh(x0^3 * x1 * x2 * x3^-1) + 113.543*(x0^-2 * x1^3) + -2.698*tanh(x0 * x1^3 * x2^-1 * x3^-3 * x4) + 3.001*(x0^-2 * x1^2 * x2^-2 * x3^-3 * x4^-2) + 4.264*tanh(x1^2 * x4) + 418.49*tanh(x0^-1 * x1^3 * x2^-2 * x3^-3 * x4) + 0.448*log(x0^-3 * x2^3 * x3^-2 * x4^-2) + 127.212
"(-3, 3)",15,4,2.3384420720304018,1.7528440043051683,0.00035095535876647553,721.3257911205292,-3.323*tanh(x0^3 * x1^-3 * x2 * x4^3) + -0.003*sqrt.abs(x0^-3 * x1^3 * x2^-3 * x3^3 * x4^-1) + -0.264*sqrt.abs(x0^-1 * x1^3 * x3^-1 * x4^-2) + 0.033*sqrt.abs(x0^-3 * x1^3 * x2^3 * x3^3 * x4^-3) + -0.615*sqrt.abs(x0^2 * x2 * x3^-1 * x4) + -5.65*tanh(x0^3 * x2^2 * x3^-2 * x4^2) + 8.285*tanh(x0^3 * x2^-1 * x3^-1 * x4^3) + 0.406*sqrt.abs(x0^3 * x2^2 * x3^-2 * x4^2) + 0.0*(x0^-2 * x1^3 * x2^-3 * x3^3 * x4^-1) + -6493.279*tanh(x1^3 * x2^2 * x3^-2 * x4) + -0.328*(x0^-2 * x1 * x2^2 * x4^-3) + -12617.6*cos(x0^-1 * x1^2 * x2^-3 * x3^-2 * x4^2) + 3.489*tanh(x0^3 * x2^-2 * x3^-2 * x4^3) + 0.0*(x0^-3 * x1^3 * x2^-3 * x3^2 * x4^-3) + -6.982*tanh(x2 * x3) + 12752.081
"(-3, 3)",15,5,2.3492455085880954,1.7659673911186955,0.00035456241341442346,673.4515638351439,10.407*tanh(x0^-2 * x2^-1 * x3^2 * x4^-1) + -0.173*sqrt.abs(x0^-3 * x1^2 * x2^2 * x3^2 * x4^-3) + -1.538*sqrt.abs(x1^2 * x2^2 * x3 * x4) + 6.625*tanh(x0^3 * x1 * x2^3 * x3^-2 * x4) + 0.0*(x0^-1 * x1^3 * x2^2 * x3^2 * x4^-1) + 0.08*sqrt.abs(x0 * x2^-1 * x3^-3 * x4^-1) + -2.503*sqrt.abs(x0^-1 * x2^3 * x4^-2) + -2.801*tanh(x1^-3 * x2 * x3) + -0.0*(x0^2 * x2 * x3^-1 * x4^-1) + -164.81*sqrt.abs(x0^-3 * x2^-1 * x3^-1 * x4^-2) + 3.327*tanh(x0^-3 * x1 * x3^3 * x4^-3) + -50.083*sqrt.abs(x1^2 * x2 * x3^-1 * x4) + -14.378*tanh(x0^-2 * x2^-3 * x3^2 * x4^2) + 7.523*tanh(x0^-3 * x1^-3 * x2^-1 * x3^-1) + -0.027*sqrt.abs(x0 * x1^2 * x2 * x3^-1 * x4^-1) + 117.168
"(-2, 2)",5,3,2.8007342003587072,2.06685158506504,0.000503353382066038,131.71454906463623,12.41*tanh(x0^-2 * x2^-1 * x3^2 * x4^-1) + -6.621*(x0^-1 * x1 * x2^-1) + -7.926*tanh(x0^-2 * x4^-2) + -18.754*exp(x0^-1 * x2 * x4^-1) + -2.915*sqrt.abs(x0 * x2 * x4) + 141.496
"(-2, 2)",5,4,2.7445311159661565,2.0624683616857293,0.0004835700593117242,128.13462805747986,-3.154*sqrt.abs(x0^-2 * x3 * x4^-2) + -190.025*sqrt.abs(x0^-2 * x2^-2) + 0.0*(x0^-2 * x2^-1 * x3^2 * x4^-2) + 4.754*log(x0^-2 * x2^-1 * x3 * x4^-1) + -0.609*log(x3^-2 * x4^2) + 137.682
"(-2, 2)",5,5,2.8079971908947847,2.0660473591845694,0.000505531774950612,124.55125999450684,-0.0*sqrt.abs(x0^2 * x3) + 1733.744*tanh(x0^-1 * x1^2 * x2^2) + 2.582*log(x0^-2 * x2^-2 * x3^2 * x4^-2) + -18979194.315*exp(x0^-1 * x1 * x2^2 * x3^-1 * x4) + -25.433*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + 18979303.629
"(-2, 2)",10,3,2.3539775262949236,1.79795206333259,0.00035554921142552453,435.8671727180481,-0.683*log(x0^2 * x2^-2 * x3 * x4^-2) + -7.409*tanh(x0^-2 * x2^2 * x3 * x4^-2) + -12.442*tanh(x0^-1 * x1 * x2^-2 * x3 * x4^2) + -24.572*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + 22.836*sqrt.abs(x0^-2 * x1 * x3^2) + -137909.256*sqrt.abs(x0^-2 * x1 * x2^2 * x4^2) + -94.537*tanh(x1^-1 * x2^2 * x3^2 * x4^-1) + -0.0*sqrt.abs(x0^2 * x3^2 * x4^-1) + 3.351*log(x0^-2 * x2^-2 * x3^2 * x4^-2) + -0.409*sqrt.abs(x0^-2 * x1 * x2^-1 * x3^2 * x4^-1) + 221.062
"(-2, 2)",10,4,2.361454262360758,1.7944820401583728,0.00035787075247380016,388.7360010147095,9.027*tanh(x0^-2 * x2^-1 * x3^2 * x4^-1) + 4.393*log(x2^2 * x3^-1 * x4^-1) + 6.243*(x0^-1 * x1^2 * x2^-1 * x3^-1) + -26.063*tanh(x0^-1 * x4^-1) + -6.348*log(x0 * x2^2 * x3^-1) + 11.057*tanh(x0^-2 * x1^2 * x2 * x3^2) + -48.38*sqrt.abs(x0^-2 * x1 * x2^-2 * x3 * x4) + -81119945494.121*tanh(x0^-1 * x2^2 * x3^-2 * x4^2) + -0.631*sqrt.abs(x0^-1 * x1 * x2^-1 * x4^-1) + -65.365*(x0^-2 * x2 * x3 * x4^-1) + 134.832
"(-2, 2)",10,5,2.3025149030610685,1.7427796277794552,0.00034013452002059236,395.4864110946655,0.921*log(x2^-1 * x4) + -37.178*sqrt.abs(x0^-2 * x2 * x4^-2) + -24.934*tanh(x2^2 * x3 * x4^-1) + -265632.332*sqrt.abs(x0^-2 * x1^2 * x2^2 * x3^-1 * x4^2) + -1.033*sqrt.abs(x0^-2 * x1^2 * x2^-1 * x3 * x4^-1) + -16.267*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + 3.681*tanh(x0^-2 * x2^-1 * x3^2 * x4^-1) + -2.586*sqrt.abs(x1^2 * x3^-1) + 9431.316*tanh(x0^-2 * x3) + 4.183*log(x0^-2 * x2^-1 * x3 * x4^-1) + 173.856
