expolim,maxterms,minterms,rmse_test,mae_test,nmse_test,time,expr
"(-1, 1)",15,5,1.0546252114861308,0.7109927146039873,0.008843378290458458,124.62279391288756,-2983.521*tanh(x5^-1) + -22698.145*tanh(x1^-1 * x5^-1) + 253.382*sin(x1 * x2 * x5) + -293173.414*tanh(x1 * x2 * x5^-1) + -75.347*sin(x2 * x5) + 0.328*exp(x1 * x2^-1 * x4 * x5^-1) + 3858.873*cos(x1 * x5) + -0.783*(x2 * x3 * x4 * x5) + -42.815*log(x1 * x2) + 240.992*tanh(x0^-1 * x3^-1 * x4^-1 * x5) + -122.591*tanh(x0^-1 * x1^-1 * x2 * x3 * x4^-1 * x5^-1) + 22.353*sin(x1^-1 * x2 * x5) + -3.223*sqrt.abs(x0 * x3 * x4^-1 * x5) + -21.049*log(x1 * x2^-1 * x4) + 2.658*sin(x5^-1) + 314843.892
"(0, 3)",5,3,1.341205989607262,0.9184830955269648,0.014257123894209913,83.4940118789673,-240.145*exp(x1 * x2 * x5^3) + 0.836*sqrt.abs(x1^3 * x2^3 * x3 * x4^3 * x5^3) + -22618.917*cos(x5^3) + 2.397*tanh(x0 * x1^2 * x4^3 * x5^3) + 48.206*(x5) + 22851.934
"(0, 3)",5,4,1.079690226770836,0.8764914914535855,0.009380937771781664,84.96443867683409,-208.429*tanh(x1^3 * x2 * x5^3) + -19794.51*cos(x5^3) + 2.254*sin(x0 * x1^3 * x3^2 * x5^2) + -1027.025*tanh(x1^3 * x3 * x5^3) + 361.002*exp(x1^3 * x3 * x5^2) + 19431.295
"(0, 3)",5,5,1.4251215840787612,0.9919108504463244,0.016317766717826556,94.14387989044191,-3.291*exp(x4^2 * x5^2) + 1.937*sqrt.abs(x1 * x2^3 * x3 * x4^2 * x5^3) + -2179.644*cos(x4 * x5^3) + 3.453*tanh(x0 * x3 * x5^3) + -6.155*(x1 * x3 * x4^3 * x5^3) + 2180.096
"(0, 3)",10,3,0.705873323488453,0.5294094764070413,0.00395933549284008,113.43950176239014,-44621.029*cos(x5^3) + 9.456*exp(x0 * x1^2 * x3^2 * x5^3) + 6697.653*cos(x5^2) + 132602.958*cos(x1^2 * x5^3) + 0.355*(x2 * x3^3 * x5^3) + 1369.566*tanh(x1 * x5^3) + -1521.656*cos(x1^3 * x3^2 * x5^3) + 552.181*cos(x1^2 * x3^2 * x5^3) + 0.727*sqrt.abs(x0^2 * x1^3 * x3^2 * x4^2 * x5^3) + -5.164*exp(x3 * x4 * x5^3) + -93715.485
"(0, 3)",10,4,1.0479353814053711,0.6989926299140564,0.008772493094116582,114.74546456336977,194.018*cos(x1^2 * x2^2 * x5^3) + -1363.414*cos(x2 * x5^3) + -2.343*(x2^2 * x3^2 * x5^3) + 0.007*(x0^2 * x1 * x2 * x3^3 * x4 * x5^3) + -0.525*(x1^3 * x2^2 * x4) + 2.678*(x3^3 * x4 * x5^3) + 0.096*(x1^3 * x2^3 * x3 * x4^3 * x5^3) + 6.913*(x0 * x3 * x5^3) + 0.169*(x1^2 * x2^3 * x3 * x4^2 * x5^2) + -0.469*(x1 * x2^2 * x3 * x4^3 * x5^3) + 1174.125
"(0, 3)",10,5,0.9741131449144556,0.6472525876016835,0.007639733081309605,115.43534994125366,1.755*cos(x2 * x4^2 * x5^3) + -33.136*exp(x1^2 * x2 * x3 * x5^3) + -21978.001*cos(x5^3) + -86.633*exp(x1^2 * x2 * x4 * x5^3) + 19.468*(x0 * x1^3 * x3 * x4^2 * x5^3) + 52.23*sin(x1^3 * x2 * x4 * x5^2) + -1.01*(x0 * x1^3 * x2 * x3 * x4^3 * x5^3) + 0.698*(x1^3 * x2^2 * x3^2 * x4 * x5^3) + -0.017*(x0^3 * x1^3 * x2^2 * x3^3 * x5^3) + 0.001*(x0^3 * x1^3 * x2^3 * x3^3 * x4 * x5^3) + 22094.918
"(0, 3)",15,3,0.9064920301950689,0.5631439730890695,0.006500519650107814,143.6545271873474,0.001*(x0^3 * x1^3 * x2^3 * x3^3 * x4^2 * x5^3) + 0.091*(x1^3 * x2^3 * x3^3 * x5^3) + -0.005*(x0^3 * x1^3 * x2^2 * x3^3 * x4^2 * x5^3) + 1683.214*tanh(x5^3) + -66.705*cos(x1^2 * x4^2 * x5^2) + -69814.109*tanh(x5^2) + -10.827*exp(x1 * x2 * x3 * x5^3) + 32772.019*cos(x1^3 * x4 * x5^3) + -0.079*(x0 * x1^2 * x2^2 * x3 * x4^3 * x5^3) + 26.568*(x0 * x1^3 * x2^2 * x5^3) + -52.672*tanh(x1^3 * x4^3 * x5^3) + -139550.022*cos(x5) + -0.315*(x2^2 * x3^2 * x5^3) + -4973.622*cos(x1^3 * x4 * x5^2) + -0.539*tanh(x0 * x1 * x2^2 * x3^2 * x4^3) + 111827.943
"(0, 3)",15,4,0.7966924564668741,0.4901182374869044,0.005032187237640033,138.61739993095398,10244.914*cos(x5^2) + 6666.89*cos(x1 * x2 * x5^3) + -337.6*cos(x2 * x5^2) + -61.83*sin(x1^2 * x2^2 * x5^2) + -0.184*cos(x1 * x2^3 * x4^2) + 0.648*sqrt.abs(x0^2 * x1^3 * x2^2 * x3^3 * x5^3) + 35.053*exp(x0 * x1 * x3 * x5^3) + -0.012*sqrt.abs(x0^3 * x1^3 * x2^3 * x3^3 * x4 * x5) + 335.304*exp(x1 * x2 * x5^2) + 0.197*sqrt.abs(x0^3 * x1^2 * x3^2 * x4^3 * x5^3) + -126.196*(x2 * x5^3) + 1.105*sin(x2^2 * x4 * x5^3) + 2.597*(x2) + -64006.286*cos(x5^3) + -9.999*exp(x2 * x5) + 47061.392
"(0, 3)",15,5,1.0457066217301676,0.6690070305364874,0.008534603410450115,141.70363211631775,1201.446*cos(x1 * x4 * x5^2) + 8.393*(x4^3 * x5^3) + -4.409*cos(x0 * x1^2 * x4^2 * x5^2) + 0.543*(x0 * x2 * x3^2 * x5^3) + -738.042*cos(x4 * x5^3) + -0.056*(x1^3 * x2^2 * x3^3 * x4 * x5) + -18488.176*cos(x5^3) + -0.005*(x0 * x1^2 * x2 * x3^3 * x4^3 * x5^3) + -0.15*(x1 * x2^2 * x3^3 * x4 * x5^3) + -1.729*cos(x0^2 * x5^2) + 2.367*cos(x0 * x3 * x4 * x5^3) + -0.537*cos(x0^2 * x2^2 * x5^3) + -0.0*(x0^2 * x1 * x2^3 * x3^2 * x4^3 * x5) + 0.007*(x1^3 * x2^2 * x3^3) + 0.33*(x1^3 * x2^2 * x3^3 * x4 * x5^2) + 18029.593
"(0, 2)",5,3,1.4234486569638485,0.9757897995778873,0.015957497352833205,78.59573364257812,267.484*cos(x1^2 * x2 * x5^2) + -490200.474*(x5^2) + -2.517*sqrt.abs(x0 * x5^2) + -846259.252*cos(x5) + 67212.142*exp(x5^2) + 778778.09
