expolim,maxterms,rmse_test,mae_test,nmse_test,time,expr
"(-3, 3)",10,3.1904138832885547,2.2839049826196463,0.000649048185050125,37.99309229850768,-34.015*sqrt.abs(x0 * x2 * x3^-1 * x4) + 90647.69*sqrt.abs(x0^-3 * x1 * x2^3) + -760.257*sqrt.abs(x0^-2 * x2^-2 * x3^-1) + -129992.063*sqrt.abs(x0^-2 * x2^3 * x3^-1) + -200.429*sqrt.abs(x0^-3 * x1^3 * x2^-1 * x3^2 * x4^3) + -6.561*tanh(x0^3 * x2^2 * x3^-2 * x4^2) + -0.121*sqrt.abs(x0^-3 * x3^2 * x4^-3) + -0.947*tanh(x0^3 * x1^3 * x2^3 * x3^3 * x4^3) + 0.0*sqrt.abs(x0^3 * x1^3 * x2^3 * x3^3 * x4^3) + -0.635*log(x0^2 * x2^-1 * x3^2 * x4^-1) + 157.799
"(-4, 4)",2,4.634662225912195,3.6776678356010266,0.0013741319442792425,6.19506573677063,13.587*tanh(x0^-3 * x1^-3 * x2^-4 * x3^3 * x4^-2) + -0.029*sqrt.abs(x0 * x2^4 * x3^-1 * x4^-2) + 114.991
"(-4, 4)",4,3.6876804840700825,2.7309238446331077,0.0008682497747225197,8.994503736495973,-7.059*sqrt.abs(x0 * x1 * x2 * x3^-1 * x4) + -2.668*sqrt.abs(x0 * x2 * x3^-1) + -242.432*sqrt.abs(x0^-4 * x2^-3 * x3^3 * x4^2) + -0.001*sqrt.abs(x0^-2 * x1^2 * x2^-2 * x3^2 * x4^-2) + 135.202
"(-4, 4)",6,3.31167443257205,2.408026656538081,0.0006990009690682293,13.893126010894775,-11.262*tanh(x0^-4 * x1^3 * x2^-2 * x3^-1 * x4^-3) + -28.644*sqrt.abs(x0 * x2 * x3^-1 * x4) + -5.827*tanh(x0^4 * x1^-2 * x2 * x3^-1 * x4^4) + -12029.183*sqrt.abs(x0^-4 * x3^-1 * x4^-2) + -0.0*sqrt.abs(x0^4 * x2^3 * x3^-1 * x4^-1) + 2.61*tanh(x0^-3 * x1^-4 * x2^-4) + 134.997
"(-4, 4)",8,3.4409216641098426,2.4859117419451287,0.0007542342490853433,36.53000378608704,-6.435*tanh(x0^4 * x1^-3 * x2^2 * x3^-2 * x4^3) + -308.87*sqrt.abs(x0^-3 * x3^-2 * x4^-3) + -16.041*sqrt.abs(x0^-3 * x1^2 * x2^-4 * x3^-1) + 5.569*tanh(x0^4 * x1 * x2 * x3^-3 * x4^3) + 1.165*log(x0^-4 * x2^-2 * x3 * x4^-4) + -0.0*sqrt.abs(x0^3 * x1 * x3^-1 * x4^-2) + -2.088*sin(x1^4 * x2 * x3^-3 * x4^-1) + -5.771*tanh(x0 * x1^3 * x2^4 * x3) + 132.103
"(-4, 4)",10,3.4213002481772112,2.4987332287144883,0.000747477866233734,79.5351119041443,-10.865*tanh(x0^3 * x2^3 * x3^-2 * x4^2) + -23.141*sqrt.abs(x0^-2 * x1 * x2^-3 * x4) + -5288.03*exp(x0^-2 * x2^2 * x4^-1) + 0.706*tanh(x0^3 * x1^-3 * x2^2 * x3^3 * x4^3) + -0.0*sqrt.abs(x0^4 * x2^2 * x3 * x4) + -921.294*sqrt.abs(x0 * x3^-4 * x4) + 0.0*(x0^-2 * x1^3 * x2^2 * x3^3 * x4^-2) + 0.0*sqrt.abs(x2^3 * x3 * x4^-2) + -0.067*(x0 * x1^3 * x2^3 * x4^2) + -138.804*sqrt.abs(x0^-3 * x4^-2) + 5419.745
"(-5, 5)",2,4.690502142544023,3.6457750623909266,0.0014044345222669298,17.334717750549313,-0.975*log(x0^4 * x2^4 * x3^-1 * x4^3) + -16.541*sqrt.abs(x0^-2 * x1 * x2^-5 * x3^-4 * x4^-1) + 126.545
"(-5, 5)",4,3.9930936356319418,3.0599136128739883,0.0010190556937958448,28.634793281555176,-0.0*sqrt.abs(x0^2 * x1^2 * x2) + -11.34*tanh(x0^4 * x2^4 * x3^-4 * x4^2) + -286.185*sqrt.abs(x0^-3 * x2^-5 * x4^2) + -3.514*tanh(x0^2 * x1^3 * x2^-2 * x3^-5 * x4^3) + 129.186
"(-5, 5)",6,4.352661544425228,3.1982906663137216,0.0012098603389641375,41.07268452644347,-2.958*log(x0^2 * x3^-3 * x4^2) + -8.996*tanh(x0^-4 * x1^3 * x2^-2 * x3^-3 * x4^-4) + -5.414*tanh(x0^3 * x1^-2 * x2^4 * x3^-3 * x4) + -0.0*sqrt.abs(x0 * x1^3 * x2^4 * x3^3 * x4^-3) + -48.766*sqrt.abs(x0^-2 * x3 * x4^-1) + 11052604.512*sqrt.abs(x0^-5 * x1^4 * x2^4 * x3^-1) + 110.562
"(-5, 5)",8,3.448782069155457,2.444139466463941,0.0007582499618720207,73.87944316864014,-12.676*tanh(x0^-4 * x1^5 * x2^-4 * x3^-1 * x4) + -1.538*log(x0^4 * x2^3 * x3^-3 * x4^4) + -8.788*tanh(x0^-5 * x2^-2 * x3^4 * x4^-2) + 2.142*sqrt.abs(x0^-1 * x1^2 * x2^2 * x3 * x4^-1) + -0.029*sqrt.abs(x0^-3 * x2^-2 * x3^3 * x4^-2) + -3.064*tanh(x0^-5 * x1^-1 * x2^4 * x3^3 * x4^-5) + -1.432*sqrt.abs(x0^-2 * x2 * x3 * x4^-2) + 4.349*tanh(x0^2 * x1^-3 * x2^-3 * x4^4) + 109.527
"(-5, 5)",10,4.033409868310778,3.03016938951332,0.0010388777450409336,103.2928638458252,-7.645*tanh(x0^5 * x1 * x2^3 * x3^-3 * x4^5) + -165.315*sqrt.abs(x2^5 * x3^-5 * x4^-3) + -3.397*tanh(x0^3 * x1^2 * x2^3 * x3^-5) + -41282.029*sqrt.abs(x0 * x1^3 * x3^-5 * x4^5) + 4.26*tanh(x0^4 * x1^2 * x2^3 * x3^-4 * x4) + -6.035*tanh(x0^5 * x1^5 * x2^5 * x3^5 * x4^5) + -5.181*tanh(x0^5 * x1^-1 * x2^5 * x3^-5 * x4^2) + -7.084*tanh(x0^-2 * x1^4 * x3^-2 * x4^-2) + -0.445*cos(x0^-2 * x1^5 * x2^-4 * x3^-3 * x4^-2) + -0.0*sqrt.abs(x0^-4 * x1^5 * x2^-4 * x3^3 * x4^-3) + 133.659
